kind,issuer,cusip,putcall,shares,share_chg,value,w_prev,w_cur,w_pp
ADD,Ishares Russell 2000 Etf - US ETP,464287655,PUT,30723100.0,49.30288613401886,9230755395.0,9.472574171192587,12.83608973880231,3.3635155676097224
ADD,Invesco Qqq Trust Series 1 - US ETP,46090E103,CALL,4826700.0,111.16944480903005,3554381880.0,2.4487813242605703,4.942646925988971,2.4938656017284004
ADD,Invesco Qqq Trust Series 1 - US ETP,46090E103,PUT,4736100.0,29.412246905484057,3487664040.0,3.9208141980121667,4.849870533941692,0.9290563359295252
TRIM,Ishares Russell 2000 Etf - US ETP,464287655,CALL,9678200.0,-19.334889148191365,2907815190.0,5.52306355452595,4.043545205727172,-1.479518348798778
ADD,Ishares Core S&P 500 Etf - US ETP,464287200,,1615654.0,730.4185362794834,1209947124.0,0.23589766988793218,1.6825264237076845,1.4466287538197522
ADD,Spdr Gold Shares - US ETP,78463V107,CALL,2927900.0,119.17059660154203,1078579802.0,1.0669761340082036,1.4998498537217089,0.4328737197135053
ADD,Taiwan Semiconductor Manufacturing Co Ltd - US ADR,874039100,PUT,2188200.0,122.62692033777599,1045018674.0,0.6165684360494676,1.453180471606267,0.8366120355567994
ADD,Micron Technology Inc - US,595112103,PUT,709500.0,9.592215013901761,818968755.0,0.40597871609730724,1.1388403204952655,0.7328616043979583
ADD,Nvidia Corp - US,67066G104,PUT,4022000.0,2.413933591362803,804761980.0,1.2713027955494949,1.1190846850141485,-0.1522181105353464
ADD,Ishares Iboxx High Yield Corporate Bond Etf - US E,464288513,PUT,10000000.0,1233.3333333333335,799700000.0,0.11075811099516703,1.1120456045970446,1.0012874936018776
ADD,Taiwan Semiconductor Manufacturing Co Ltd - US ADR,874039100,,1369304.0,340.36572148951427,653938511.0,0.1950555561326958,0.9093528158488009,0.7142972597161051
ADD,Microsoft Corp - US,594918104,PUT,1703300.0,150.8541973490427,635364966.0,0.46654173008325767,0.8835248440105673,0.41698311392730963
ADD,Microsoft Corp - US,594918104,,1672441.0,148.01337614093885,623853942.0,0.46333640297306444,0.8675178618377386,0.40418145886467416
ADD,ISHARES TR,464287432,CALL,6701700.0,798.1104261592067,579160914.0,0.12007255443586429,0.8053686992223421,0.6852961447864778
ADD,Spdr Gold Shares - US ETP,78463V107,PUT,1549300.0,25.236440061434003,570731134.0,0.9880651062067135,0.7936464286249679,-0.19441867758174558
TRIM,State Street Energy Select Sector SPDR ETF - US ET,81369Y506,PUT,8914600.0,-25.43328426124197,473454406.0,1.3594190158968111,0.6583755047760468,-0.7010435111207644
KEEP,State Street Financial Select Sector SPDR ETF - US,81369Y605,PUT,8731500.0,-0.1178247042943101,468095715.0,0.8010940309103083,0.6509238244297372,-0.1501702064805711
ADD,Nvidia Corp - US,67066G104,,2337579.0,137.41817601969564,467726182.0,0.31872660391438995,0.6504099597949947,0.33168335588060477
TRIM,Ishares Msci Emerging Markets Etf - US ETP,464287234,PUT,6244300.0,-8.001591183663848,427172563.0,0.7154755795185286,0.5940169702245893,-0.12145860929393926
ADD,Tesla Inc - US,88160R101,PUT,998900.0,6.879948641129895,420137340.0,0.6449057604623579,0.5842339405703315,-0.06067181989202641
TRIM,Micron Technology Inc - US,595112103,,331391.0,-6.77332418107959,382521317.0,0.22291078484626947,0.531925908758938,0.3090151239126685
TRIM,State Street SPDR S&P Regional Banking ETF - US ET,78464A698,PUT,5109600.0,-15.826235935620975,382453560.0,0.7340811583791461,0.531831687333365,-0.20224947104578106
