kind,issuer,cusip,putcall,shares,share_chg,value,w_prev,w_cur,w_pp
TRIM,Tesla Inc,88160R101,,2759800.0,-2.526340103887609,1160772073.0,8.18498292147377,7.5361165727499815,-0.6488663487237885
TRIM,Advanced Micro Devices Inc,007903107,,1416443.0,-47.78771728961455,822826048.0,4.291586082740096,5.342059101057622,1.0504730183175255
NEW,Space Exploration Technologies Corp,84615Q103,,4478013.0,,765113281.0,0.0,4.967368711820494,4.967368711820494
ADD,Tempus AI Inc,88023B103,,10022634.0,4.318276557090139,580611200.0,3.378535096220206,3.769520122357608,0.39098502613740216
TRIM,Robinhood Markets Inc,770700102,,5236031.0,-12.777314773246514,525069168.0,3.2350603278522647,3.408922863364619,0.1738625355123542
TRIM,CRISPR Therapeutics AG,H17182108,,9460939.0,-16.37569150041503,515999631.0,4.185152104292481,3.350040426680713,-0.835111677611768
TRIM,Shopify Inc,82509L107,,4155925.0,-0.5200768278449234,474523465.0,3.853599546613773,3.0807634262796793,-0.7728361203340937
TRIM,Twist Bioscience Corp,90184D100,,4549803.0,-28.267467667328894,468083756.0,2.343847127962649,3.03895470357914,0.6951075756164911
TRIM,10X Genomics Inc,88025U109,,10003057.0,-14.630141012656736,383517223.0,1.934437015106591,2.489920775502109,0.5554837603955178
ADD,Amazon.com Inc,023135106,,1591177.0,17.405516043512684,379241133.0,2.1949936373955126,2.4621589836179494,0.2671653462224368
ADD,Palantir Technologies Inc,69608A108,,3212286.0,3.2928912714023464,374777381.0,3.5375707748884433,2.4331788279040842,-1.104391946984359
ADD,Alphabet Inc,02079K107,,1043334.0,44.82422607000974,368641312.0,1.6070473067191635,2.393341436603891,0.7862941298847277
ADD,Coinbase Global Inc,19260Q107,,2511319.0,5.83403992778408,367129713.0,3.221974166643555,2.383527635479428,-0.8384465311641267
ADD,ROBLOX Corp,771049103,,6465890.0,9.663733996641174,351615103.0,2.5932899463387518,2.2828016512312246,-0.3104882951075272
TRIM,Beam Therapeutics Inc,07373V105,,10234862.0,-15.64743465431424,351260447.0,2.2484546332715185,2.2804991070699776,0.032044473798459094
TRIM,Teradyne Inc,880770102,,644782.0,-48.21535560370791,311971420.0,2.870480150149983,2.025421737111645,-0.8450584130383376
ADD,Intellia Therapeutics Inc,45826J105,,16875684.0,16.30985398484153,285536575.0,1.4464695756852224,1.8537979720879867,0.4073283964027643
ADD,Circle Internet Group Inc,172573107,,4558162.0,1.0795031447070862,285477674.0,3.3457766938108557,1.8534155672967476,-1.4923611265141081
ADD,NVIDIA Corp,67066G104,,1381247.0,33.39891020700658,276373746.0,1.4042415097946024,1.794309852855664,0.39006834306106164
ADD,CoreWeave Inc,21873S108,,2657192.0,4.691140113272593,264496911.0,1.5290542406768375,1.7172015081967578,0.18814726751992028
TRIM,Deere & Co,244199105,,393025.0,-1.5157589820434305,249307586.0,1.74811485591354,1.6185873818545007,-0.1295274740590393
KEEP,Block Inc,852234103,,3097973.0,0.13048104421035212,235445950.0,1.447904508679582,1.5285930520331046,0.08068854335352249
ADD,Kratos Defense & Security Solutions Inc.,50077B207,,4672566.0,33.83862369149352,232974116.0,1.9142607257453852,1.51254508740182,-0.40171563834356516
TRIM,Taiwan Semiconductor Manufacturing Company Ltd,874039100,,482286.0,-23.166651797662592,230325325.0,1.6496193988158288,1.4953482593447316,-0.15427113947109716
ADD,Natera Inc,632307104,,688855.0,0.6722639951480077,186989592.0,1.0641488514870656,1.2139983343680578,0.1498494828809922
TRIM,Illumina Inc,452327109,,1045010.0,-7.4769425007902015,183744158.0,1.0826029024242432,1.1929279024356672,0.11032500001142398
NEW,Cerebras Systems Inc,15675D103,,764613.0,,168979473.0,0.0,1.0970706795509355,1.0970706795509355
TRIM,Rocket Lab Corp,773121108,,1631207.0,-27.296920740077802,165812192.0,1.1204770849418082,1.0765076427671791,-0.04396944217462906
ADD,Bullish,G16910120,,6746186.0,2.8062466559555648,158063147.0,1.823258398927251,1.0261982772975593,-0.7970601216296918
KEEP,Broadcom Inc,11135F101,,407202.0,-0.14737508061490476,153820556.0,0.9815253280200523,0.9986539720112794,0.017128643991227044
ADD,Recursion Pharmaceuticals Inc,75629V104,,41337632.0,2.7972781481424467,151709111.0,0.9600166525356243,0.9849457720751579,0.024929119539533584
TRIM,Archer Aviation Inc,03945R102,,31963922.0,-14.619576717852487,151189352.0,1.5051116419955277,0.9815713245803862,-0.5235403174151415
TRIM,Absci Corp,00091E109,,12925271.0,-5.834825434540402,149803896.0,0.32021893159607784,0.9725764855716983,0.6523575539756205
TRIM,Veracyte Inc,92337F107,,2295951.0,-24.817032318232453,134841222.0,0.7649099816907791,0.8754338525544967,0.11052387086371762
ADD,Meta Platforms Inc,30303M102,,238973.0,55.1813034104782,134610910.0,0.6851413858232036,0.8739385908054632,0.1887972049822596
TRIM,ARK 21Shares Bitcoin ETF,040919102,,6454565.0,-3.6374067922067486,125605835.0,1.1714516360794403,0.8154746627657707,-0.3559769733136695
ADD,L3Harris Technologies Inc,502431109,,431179.0,10.645532135470395,125296306.0,1.0459429675551664,0.813465098027865,-0.23247786952730132
TRIM,BitMine Immersion Technologies,09175A206,,8811588.0,-9.1510660969269,117282236.0,1.4918908253215404,0.7614351025214358,-0.7304557228001046
ADD,Personalis Inc,71535D106,,8271339.0,4.119113627803837,110835941.0,0.3935149123535586,0.7195836213285942,0.3260687089750356
ADD,GeneDx Holdings Corp,81663L200,,1610189.0,21.56195572493381,110539494.0,0.6614939778015113,0.7176589892654983,0.056165011463987
TRIM,BWX Technologies Inc,05605H100,,549881.0,-11.672229843256563,107034337.0,0.9899652069096517,0.6949023496355314,-0.2950628572741203
ADD,AeroVironment Inc,008073108,,607502.0,8.627206957840265,100280355.0,0.7960773017789752,0.65105326257858,-0.1450240392003952
NEW,X-Energy Inc,98386P102,,5411846.0,,99361493.0,0.0,0.6450877062843339,0.6450877062843339
ADD,Eli Lilly & Co,532457108,,77254.0,509.4509308930262,92660897.0,0.09066176886904864,0.6015852188128746,0.510923449943826
TRIM,Roku Inc,77543R102,,595880.0,-84.4027007607832,82314834.0,2.8110510850115444,0.5344151527416733,-2.2766359322698713
ADD,Guardant Health Inc,40131M109,,506416.0,4.0563004058149685,75977634.0,0.3495797874953796,0.4932719524048478,0.14369216490946818
ADD,DoorDash Inc,25809K105,,380139.0,9.820105330972101,70147050.0,0.40416836347768664,0.45541787085579,0.051249507378103354
NEW,Snowflake Inc,833445109,,269539.0,,68597731.0,0.0,0.44535917900408106,0.44535917900408106
ADD,Trimble Inc,896239100,,1331680.0,6.711541158322816,68155382.0,0.6330124805687055,0.4424873028559723,-0.1905251777127332
TRIM,SoFi Technologies Inc,83406F102,,3742479.0,-2.438058572946893,67102642.0,0.47370263852071404,0.4356525662652715,-0.038050072255442546
