kind,issuer,cusip,putcall,shares,share_chg,value,w_prev,w_cur,w_pp
ADD,VISA INC,92826C839,,6393604.0,1.0337719267056826,2193581596.0,5.3502146576737655,6.253220734485196,0.9030060768114305
TRIM,TAIWAN SEMICONDUCTOR MANUFAC,874039100,,3168097.0,-29.04799796287989,1512988084.0,4.221107048687111,4.313059735343362,0.091952686656251
ADD,AIR PRODUCTS AND CHEMICALS I,009158106,,4740351.0,15.502954975457438,1389776106.0,3.3349451175416616,3.961820603427098,0.6268754858854364
ADD,SHERWIN WILLIAMS CO,824348106,,3875879.0,24.515551597662146,1334542657.0,2.791145614674957,3.804367172401899,1.0132215577269421
TRIM,FORTIVE CORP,34959J108,,19934762.0,-11.31981884916084,1217814611.0,3.4761028463047308,3.4716117194594767,-0.004491126845254101
ADD,META PLATFORMS INC,30303M102,,1867619.0,75.76349904712607,1052011107.0,1.7005696115561555,2.998957357773677,1.2983877462175213
TRIM,SCHWAB CHARLES CORP,808513105,,10638869.0,-27.45378539884953,981648443.0,3.8552828391081824,2.798375227498357,-1.0569076116098253
ADD,THERMO FISHER SCIENTIFIC INC,883556102,,1937415.0,16.15023755639154,971342384.0,2.2934679970532175,2.7689958499784395,0.47552785292522204
ADD,JPMORGAN CHASE & CO,46625H100,,2899386.0,7.225099832915313,949056019.0,2.2250168005805184,2.705464336052342,0.4804475354718236
ADD,LENNOX INTL INC,526107107,,1590959.0,1.1790750429751866,911539959.0,2.0414936003458504,2.5985176855625776,0.5570240852167272
ADD,AMAZON COM INC,023135106,,3700862.0,209.58468431390264,882063449.0,0.6964504784802452,2.5144892984497513,1.8180388199695061
NEW,FERRARI N V,N3167Y103,,2204309.0,,816922007.0,0.0,2.328791252600234,2.328791252600234
ADD,CARVANA CO,146869102,,12322311.0,343.24301672460956,811054510.0,2.4448108960660035,2.3120648386082334,-0.13274605745777013
TRIM,MCDONALDS CORP,580135101,,2829158.0,-21.95488642987408,764749699.0,3.1515095037798693,2.1800641850744777,-0.9714453187053915
TRIM,BRIDGEBIO PHARMA INC,10806X102,,9949219.0,-15.98670509795537,741017831.0,2.460005156028882,2.112411990455288,-0.3475931655735942
ADD,BOEING CO,097023105,,3274825.0,2.46504972871124,708901368.0,1.7793893389412951,2.0208579161887354,0.2414685772474403
ADD,MID-AMER APT CMNTYS INC,59522J103,,5043318.0,5.104072103974572,700718603.0,1.6391688981694612,1.9975313912686112,0.35836249309915
TRIM,DISNEY WALT CO,254687106,,7158406.0,-46.1711737793438,688996578.0,3.58532424655215,1.964115533880941,-1.6212087126712091
ADD,FEDEX CORP,31428X106,,2151983.0,11.3767716525245,673850437.0,1.9251024202697877,1.9209385838548538,-0.004163836414933897
NEW,MSCI INC,55354G100,,1160687.0,,650031147.0,0.0,1.853037176229844,1.853037176229844
KEEP,ADAPTIVE BIOTECHNOLOGIES COR,00650F109,,29993708.0,0.0,643365037.0,1.1645542498189734,1.834034164285191,0.6694799144662176
ADD,WATERS CORP,941848103,,1662140.0,32.287327432106984,623368986.0,1.0466805446988632,1.7770316251733413,0.7303510804744782
TRIM,JOHNSON CONTROLS INTERNATION,G51502105,,4202694.0,-4.914768877195372,614055620.0,1.6190501670237938,1.750482107487176,0.13143194046338214
NEW,UNION PAC CORP,907818108,,2047332.0,,556874304.0,0.0,1.5874759118259911,1.5874759118259911
TRIM,MICROSOFT CORP,594918104,,1458618.0,-36.84121646490111,544093686.0,2.3913829601921606,1.5510423341451474,-0.8403406260470132
ADD,SEA LTD,81141R100,,5669877.0,19.68846127540427,543344313.0,1.0973476506640616,1.5489061041594434,0.4515584534953818
TRIM,CAMDEN PPTY TR,133131102,,4513303.0,-4.285771242021346,516728060.0,1.2881748203313563,1.4730314225713947,0.18485660224003841
TRIM,REGAL REXNORD CORPORATION,758750103,,2101759.0,-33.12571929117861,500617976.0,1.6462997422849057,1.427106570044004,-0.21919317224090173
ADD,BIOMARIN PHARMACEUTICAL INC,09061G101,,7616563.0,7.851599465709593,435819735.0,1.115948423280583,1.242386883792876,0.12643846051229302
ADD,INTERACTIVE BROKERS GROUP IN,45841N107,,4830748.0,246.45682618664603,420468306.0,0.2615975460635367,1.1986247213541383,0.9370271752906016
NEW,DIGITAL RLTY TR INC,253868103,,2310475.0,,414915101.0,0.0,1.182794256368396,1.182794256368396
NEW,CARNIVAL CORP LTD,G2004J103,,14299953.0,,408549657.0,0.0,1.1646483499304554,1.1646483499304554
TRIM,GENERAL MTRS CO,37045V100,,5005833.0,-45.45206393893914,385849608.0,1.9124690107531963,1.0999375512350829,-0.8125314595181135
ADD,AON PLC,G0403H108,,1151269.0,5.901405004442957,381864415.0,0.9815711955387614,1.0885770021021182,0.10700580656335679
NEW,CVS HEALTH CORP,126650100,,3663361.0,,378974695.0,0.0,1.080339306703047,1.080339306703047
NEW,FEDEX FGHT HLDG CO INC,314352105,,2366634.0,,357361734.0,0.0,1.0187274587073911,1.0187274587073911
TRIM,INTERCONTINENTAL EXCHANGE IN,45866F104,,2777138.0,-42.58429372887075,341893459.0,2.1280427563370234,0.9746322045654436,-1.1534105517715798
NEW,MORGAN STANLEY,617446448,,1622593.0,,339186841.0,0.0,0.966916476174581,0.966916476174581
ADD,HOME DEPOT INC,437076102,,920595.0,82.56464461574157,324675445.0,0.4639195822219334,0.9255489872610182,0.4616294050390848
KEEP,TIC SOLUTIONS INC,00510N102,,35824562.0,0.0,289820707.0,0.6593968716140551,0.8261889403158353,0.1667920687017802
NEW,QUALCOMM INC,747525103,,1514185.0,,279806246.0,0.0,0.7976408182473033,0.7976408182473033
NEW,APTIV PLC,G3265R107,,4552887.0,,279456204.0,0.0,0.7966429570798264,0.7966429570798264
TRIM,REDDIT INC,75734B100,,1565518.0,-38.64604288182748,271742614.0,0.9610853206743214,0.7746539045580173,-0.1864314161163041
