kind,issuer,cusip,putcall,shares,share_chg,value,w_prev,w_cur,w_pp
NEW,PALANTIR TECHNOLOGIES INC,69608A108,PUT,5000000.0,,912100000.0,0.0,66.03687160073919,66.03687160073919
NEW,NVIDIA CORPORATION,67066G104,PUT,1000000.0,,186580000.0,0.0,13.508562112998485,13.508562112998485
NEW,PFIZER INC,717081103,CALL,6000000.0,,152880000.0,0.0,11.068651387261271,11.068651387261271
NEW,HALLIBURTON CO,406216101,CALL,2500000.0,,61500000.0,0.0,4.452656072191053,4.452656072191053
NEW,MOLINA HEALTHCARE INC,60855R100,,125000.0,,23920000.0,0.0,1.7318298088912192,1.7318298088912192
ADD,LULULEMON ATHLETICA INC,550021109,,100000.0,100.0,17793000.0,2.0539925991944075,1.288229422642202,-0.7657631765522055
NEW,SLM CORP,78442P106,,480054.0,,13287895.0,0.0,0.9620557131445063,0.9620557131445063
NEW,BRUKER CORP,116794207,,48334.0,,13137181.0,0.0,0.9511438821320802,0.9511438821320802
EXIT,ALIBABA GROUP HLDG LTD,01609W102,CALL,0.0,-100.0,0.0,4.902418147037582,0.0,-4.902418147037582
EXIT,ASML HOLDING N V,N07059210,CALL,0.0,-100.0,0.0,3.464199699192706,0.0,-3.464199699192706
EXIT,BRUKER CORP,116794108,,0.0,-100.0,0.0,1.780968412467581,0.0,-1.780968412467581
EXIT,JD.COM INC,47215P106,CALL,0.0,-100.0,0.0,5.643767862421538,0.0,-5.643767862421538
EXIT,LAUDER ESTEE COS INC,518439104,CALL,0.0,-100.0,0.0,6.985546006183522,0.0,-6.985546006183522
EXIT,LAUDER ESTEE COS INC,518439104,,0.0,-100.0,0.0,2.0956638018550566,0.0,-2.0956638018550566
EXIT,LULULEMON ATHLETICA INC,550021109,CALL,0.0,-100.0,0.0,16.43194079355526,0.0,-16.43194079355526
EXIT,MERCADOLIBRE INC,58733R102,,0.0,-100.0,0.0,1.3557647976342653,0.0,-1.3557647976342653
EXIT,META PLATFORMS INC,30303M102,CALL,0.0,-100.0,0.0,12.762281316099,0.0,-12.762281316099
EXIT,REGENERON PHARMACEUTICALS,75886F107,,0.0,-100.0,0.0,1.3616627425419614,0.0,-1.3616627425419614
EXIT,REGENERON PHARMACEUTICALS,75886F107,CALL,0.0,-100.0,0.0,18.155503233892816,0.0,-18.155503233892816
EXIT,UNITEDHEALTH GROUP INC,91324P102,,0.0,-100.0,0.0,1.0788518750242937,0.0,-1.0788518750242937
EXIT,UNITEDHEALTH GROUP INC,91324P102,CALL,0.0,-100.0,0.0,18.879907812925143,0.0,-18.879907812925143
EXIT,V F CORP,918204108,CALL,0.0,-100.0,0.0,3.047530899974866,0.0,-3.047530899974866
