kind,issuer,cusip,putcall,shares,share_chg,value,w_prev,w_cur,w_pp
ADD,NVIDIA CORPORATION,67066G104,,9413589.0,0.8306520570447489,1883565023.0,28.568573517914718,19.162024766731324,-9.406548751183394
NEW,CEREBRAS SYSTEMS INC,15675D103,,7225037.0,,1596733177.0,0.0,16.244005547949484,16.244005547949484
TRIM,META PLATFORMS INC,30303M102,,1354990.0,-30.633319903571927,763252318.0,19.609174849591408,7.764775647344931,-11.844399202246478
ADD,TAIWAN SEMICONDUCTOR MFG LTD,874039100,,1429355.0,4.662895637688322,682617068.0,8.098027135239635,6.944451082647611,-1.1535760525920233
ADD,COREWEAVE INC,21873S108,,6073695.0,34.998749743002726,604575601.0,6.115559666132377,6.150513785434354,0.034954119301977116
TRIM,ARM HOLDINGS PLC,042068205,,1641972.0,-4.282749615259059,582194012.0,4.553406948290269,5.922819727889307,1.3694127795990374
ADD,AMAZON COM INC,023135106,,2425351.0,16.07004926400703,578058158.0,7.635905861519815,5.880744548210423,-1.755161313309392
TRIM,UBER TECHNOLOGIES INC,90353T100,,7372440.0,-7.51817789068729,531995271.0,10.061074107355484,5.412134136176271,-4.648939971179213
KEEP,SNOWFLAKE INC,833445109,,1926250.0,0.0,490230625.0,5.097426894794044,4.987250911411821,-0.11017598338222268
ADD,MICROSOFT CORP,594918104,,1268082.0,7.134818930208038,473019948.0,7.687716055101657,4.812161963114753,-2.8755540919869036
NEW,QUALCOMM INC,747525103,,1882490.0,,347865327.0,0.0,3.5389295989603284,3.5389295989603284
NEW,SPACE EXPLORATION TECHN CORP,84615Q103,,1776485.0,,303530227.0,0.0,3.0878964390419035,3.0878964390419035
NEW,MICRON TECHNOLOGY INC,595112103,,209520.0,,241846841.0,0.0,2.4603743966410088,2.4603743966410088
NEW,APPLIED MATLS INC,038222105,,261950.0,,189389850.0,0.0,1.9267150068901715,1.9267150068901715
NEW,KLA CORP,482480100,,578230.0,,174457773.0,0.0,1.7748068827750745,1.7748068827750745
NEW,LAM RESEARCH CORP,512807306,,394080.0,,170766686.0,0.0,1.7372564400526307,1.7372564400526307
KEEP,ROBINHOOD MKTS INC,770700102,,899691.0,0.0,90221013.0,1.0939715465170394,0.917843166800825,-0.17612837971621442
NEW,ALPHABET INC,02079K305,,175180.0,,62604076.0,0.0,0.6368884748664874,0.6368884748664874
NEW,SYNOPSYS INC,871607107,,140343.0,,62602803.0,0.0,0.6368755242875426,0.6368755242875426
NEW,GRAB HOLDINGS LIMITED,G4124C117,,3502000.0,,150586.0,0.0,0.0015319527737498253,0.0015319527737498253
EXIT,BROADCOM INC,11135F101,,0.0,-100.0,0.0,0.3643659703434601,0.0,-0.3643659703434601
EXIT,AXON ENTERPRISE INC,05464C101,,0.0,-100.0,0.0,1.1101889765814787,0.0,-1.1101889765814787
EXIT,GRAB HOLDINGS LIMITED,G0370L116,,0.0,-100.0,0.0,0.004608470618607139,0.0,-0.004608470618607139
