kind,issuer,cusip,putcall,shares,share_chg,value,w_prev,w_cur,w_pp
ADD,ISHARES TR,464287507,,8877781.0,52.26041460857921,684565693.0,8.606872667004627,15.132545120386453,6.525672453381826
TRIM,QORVO INC,74736K101,,5611526.0,-25.28794596525489,523387030.0,12.707568860598565,11.569638864301163,-1.1379299962974017
KEEP,KENVUE INC,49177J102,,27307632.0,0.0,521848848.0,10.290879947816615,11.535636855792147,1.2447569079755318
NEW,DYNATRACE INC,268150109,,8866692.0,,389336446.0,0.0,8.606407531593764,8.606407531593764
KEEP,ALGONQUIN POWER & UTILITIES,015857105,,57189420.0,0.0,335130001.0,7.675651919642346,7.408156606713942,-0.26749531292840345
TRIM,MATCH GROUP INC NEW,57667L107,,7775125.0,-31.769491826467554,295843506.0,7.649618888545584,6.539715981820785,-1.1099029067247992
KEEP,ACACIA RESH CORP,003881307,,61123595.0,0.0,284835953.0,6.426657779775245,6.296390477576526,-0.1302673021987193
TRIM,RIOT PLATFORMS INC,767292105,,10114576.0,-34.93179871872993,276937091.0,4.1997995132435895,6.121783589096787,1.9219840758531976
KEEP,BILL HOLDINGS INC,090043100,,7025748.0,0.012811665106490561,254051048.0,5.881213065208148,5.615880237722437,-0.26533282748571096
TRIM,LAMB WESTON HLDGS INC,513272104,,5733982.0,-6.23059887993129,247593343.0,5.648795903761806,5.473130588878079,-0.1756653148837266
TRIM,CARMAX INC,143130102,,3206438.0,-48.29461656971485,169588506.0,5.636412601064352,3.748808544140597,-1.887604056923755
NEW,FLOWSERVE CORP,34354P105,,1441600.0,,106909056.0,0.0,2.363259114853017,2.363259114853017
TRIM,FLUOR CORP,343412102,,1586327.0,-45.03994176681991,83107672.0,2.9432583846554063,1.8371218558717313,-1.106136528783675
KEEP,GPGI INC,20459V105,,5027028.0,0.0,79678394.0,1.8790512440088236,1.7613165612214363,-0.1177346827873873
TRIM,TRIPADVISOR INC,896945201,,5096996.0,-52.69607524680288,69879815.0,2.510761897560973,1.5447158166188708,-0.9660460809421023
TRIM,NEWS CORP NEW,65249B208,,2431081.0,-6.10255144586052,68216133.0,1.6135189172215711,1.507939590190336,-0.10557932703123507
TRIM,NEWS CORP NEW,65249B109,,2040100.0,-63.602959148465175,50655683.0,3.054491114180656,1.119760187283433,-1.934730926897223
TRIM,HEALTHCARE RLTY TR,42226K105,,1936267.0,-71.61426169068005,39054505.0,2.533317569725869,0.8633124112266293,-1.6700051584992397
TRIM,BLOOMIN BRANDS INC,094235108,,4180992.0,-47.61312879401458,38214267.0,0.9420671186608984,0.8447386796229578,-0.09732843903794064
KEEP,BITCOIN INFRASTRUCTURE ACQUI,G1143H101,,300000.0,0.0,2998500.0,0.06505252155334801,0.06628280822053814,0.0012302866671901336
ADD,RIOT PLATFORMS INC,767292105,PUT,2423400.0,205.79179810725554,1918518.0,0.015417731775744348,0.042409458283024976,0.026991726507280628
KEEP,BITCOIN INFRASTRUCTURE ACQUI,G1143H119,,149999.0,0.0,47460.0,0.0009738205091403406,0.0010491185853415842,7.529807620124357e-05
EXIT,BECTON DICKINSON & CO,075887109,,0.0,-100.0,0.0,2.187564860366875,0.0,-2.187564860366875
EXIT,CLEARWATER ANALYTICS HLDGS I,185123106,,0.0,-100.0,0.0,2.8221358356941657,0.0,-2.8221358356941657
EXIT,GEN DIGITAL INC,668771108,,0.0,-100.0,0.0,3.2133746845894553,0.0,-3.2133746845894553
EXIT,ISHARES TR,464288513,PUT,0.0,-100.0,0.0,0.06557713866264919,0.0,-0.06557713866264919
EXIT,ISHARES TR,464287655,PUT,0.0,-100.0,0.0,0.05905573267215717,0.0,-0.05905573267215717
EXIT,ROGERS CORP,775133101,,0.0,-100.0,0.0,1.3709102815013896,0.0,-1.3709102815013896
