kind,issuer,cusip,putcall,shares,share_chg,value,w_prev,w_cur,w_pp
KEEP,TRIPLE FLAG PRECIOUS METAL,89679M104,,133241535.0,-0.0050132003644476585,3993248804.0,22.993368737783783,17.614827524084202,-5.378541213699581
KEEP,PHILLIPS 66,718546104,,19251000.0,0.0,3254381550.0,17.43574794619456,14.355571744838318,-3.0801762013562417
ADD,INVESCO QQQ TR,46090E103,PUT,3480000.0,770.0,2562672000.0,1.147777892752659,11.304335766802852,10.156557874050193
TRIM,SUNCOR ENERGY INC NEW,867224107,,29454000.0,-44.079072275340415,1581090720.0,17.311060028063523,6.974431521730471,-10.336628506333051
ADD,HEWLETT PACKARD ENTERPRISE C,42824C109,,32271985.0,17.687611670085793,1455789243.0,3.245943194071852,6.4217076584798,3.175764464407948
NEW,ISHARES TR,464287515,PUT,15750000.0,,1426950000.0,0.0,6.294493373494278,6.294493373494278
TRIM,SOUTHWEST AIRLS CO,844741108,,24308000.0,-19.897185790549003,1249917360.0,5.667992135298131,5.513575486131582,-0.1544166491665484
TRIM,SELECT SECTOR SPDR TR,81369Y704,PUT,5175000.0,-31.0,958565250.0,6.030293363689215,4.2283770378688015,-1.8019163258204136
ADD,SELECT SECTOR SPDR TR,81369Y407,PUT,7100000.0,65.11627906976744,832688000.0,2.3297099233964906,3.673113352386701,1.3434034289902104
ADD,SELECT SECTOR SPDR TR,81369Y308,PUT,9625000.0,5.306345733041575,799548750.0,3.7251237103740067,3.526931082841468,-0.19819262753253852
ADD,VANECK ETF TRUST,92189F106,PUT,9150000.0,454.54545454545456,690367500.0,0.7527855366157611,3.0453159914683843,2.2925304548526233
KEEP,UNITI GROUP LLC,912932100,,59012219.0,0.0,676870152.0,2.7518919263599595,2.9857771375872066,0.23388521122724715
NEW,ISHARES TR,464288810,PUT,12500000.0,,617625000.0,0.0,2.7244377657271825,2.7244377657271825
KEEP,PINTEREST INC,72352L106,,28000000.0,0.0,588840000.0,2.552959663737246,2.5974627548606266,0.04450309112338058
KEEP,ETSY INC,29786A106,,5000000.0,0.0,376650000.0,1.2423754088797665,1.6614604079516588,0.41908499907189234
ADD,NORWEGIAN CRUISE LINE HLDGS,G66721104,,14686000.0,11.375701501592598,310021460.0,1.225861112628399,1.3675517892084665,0.14169067658006762
KEEP,PEPSICO INC,713448108,,1275000.0,0.0,172635000.0,0.9843289655354029,0.7615192287979149,-0.22280973673748805
TRIM,SEADRILL LTD,G7997W102,,4439681.0,-5.920724038664274,167908735.0,1.0674702690596087,0.7406709554008948,-0.32679931365871395
NEW,VANECK ETF TRUST,92189F676,PUT,250000.0,,163972500.0,0.0,0.7233076244334353,0.7233076244334353
KEEP,EQUINIX INC,29444U700,,150000.0,0.0,156358500.0,0.7309880376952597,0.6897211129608641,-0.04126692473439553
NEW,SYNOPSYS INC,871607107,,227500.0,,101480925.0,0.0,0.44764778720247367,0.44764778720247367
KEEP,OR ROYALTIES INC.,68390D106,,3111000.0,0.0,98400930.0,0.5880289583228842,0.43406146103975213,-0.15396749728313203
KEEP,SPDR SERIES TRUST,78464A755,PUT,900000.0,0.0,96237000.0,0.48327359392474284,0.42451603685130446,-0.05875755707343838
NEW,INVESCO EXCHANGE TRADED FD T,46137V357,PUT,395000.0,,84044150.0,0.0,0.3707315219565921,0.3707315219565921
KEEP,TRANSOCEAN LTD,H8817H100,,15626834.0,0.0,76415218.0,0.5150757645307519,0.33707914316207344,-0.17799662136867844
TRIM,ISHARES TR,464287655,PUT,250000.0,-50.0,75112500.0,0.6164647887198522,0.331332656026202,-0.28513213269365023
NEW,ISHARES TR,464288810,CALL,1400000.0,,69174000.0,0.0,0.30513702976144447,0.30513702976144447
KEEP,HDFC BANK LTD,40415F101,,797085.0,0.0,20588706.0,0.09859198424095186,0.090819912040241,-0.0077720722007108695
NEW,QUANTINUUM INC,74768A104,,150000.0,,12261000.0,0.0,0.0540851349048063,0.0540851349048063
EXIT,CROWN CASTLE INC,22822V101,,0.0,-100.0,0.0,0.4951840416471266,0.0,-0.4951840416471266
EXIT,DIGITAL RLTY TR INC,253868103,PUT,0.0,-100.0,0.0,1.3438683819581199,0.0,-1.3438683819581199
EXIT,EMERSON ELEC CO,291011104,PUT,0.0,-100.0,0.0,0.13027293002915327,0.0,-0.13027293002915327
EXIT,FORTIVE CORP,34959J108,PUT,0.0,-100.0,0.0,0.20611798500262155,0.0,-0.20611798500262155
EXIT,GCI LIBERTY INC,36164V800,,0.0,-100.0,0.0,0.12207952137972888,0.0,-0.12207952137972888
EXIT,ISHARES TR,464288513,PUT,0.0,-100.0,0.0,1.9776588141351388,0.0,-1.9776588141351388
EXIT,ISHARES TR,464287598,PUT,0.0,-100.0,0.0,1.0622583177884743,0.0,-1.0622583177884743
EXIT,STRATEGY INC,594972AJ0,,0.0,-100.0,0.0,0.05736602578256753,0.0,-0.05736602578256753
EXIT,VANECK ETF TRUST,92189F106,CALL,0.0,-100.0,0.0,0.9124673171100136,0.0,-0.9124673171100136
EXIT,WAYFAIR INC,94419LAR2,,0.0,-100.0,0.0,0.13048222976790413,0.0,-0.13048222976790413
EXIT,WHEATON PRECIOUS METALS CORP,962879102,CALL,0.0,-100.0,0.0,0.06513149352434504,0.0,-0.06513149352434504
