kind,issuer,cusip,putcall,shares,share_chg,value,w_prev,w_cur,w_pp
ADD,AMAZON COM INC,023135106,,5000000.0,15.74074074074074,1191700000.0,15.16355840744498,15.42577172114388,0.26221331369890066
TRIM,MICRON TECHNOLOGY INC,595112103,,975000.0,-41.44144144144144,1125432750.0,9.480166629542122,14.567985809347311,5.087819179805189
ADD,TAIWAN SEMICONDUCTOR MANUFAC,874039100,,1650000.0,24.293785310734464,787990500.0,7.560972267168364,10.20001810139299,2.6390458342246257
ADD,ALPHABET INC,02079K107,,1850000.0,6.769781266231892,653660500.0,8.376913560187935,8.461204712703507,0.08429115251557207
ADD,UBER TECHNOLOGIES INC,90353T100,,7694071.0,21.497097613663637,555204163.0,7.676990646544551,7.186752267405183,-0.4902383791393685
ADD,ISHARES INC,464286772,,2425000.0,1.0416666666666665,489607500.0,4.9755640906830525,6.337646662717086,1.3620825720340335
ADD,META PLATFORMS INC,30303M102,,675000.0,54.63917525773196,380220750.0,4.208909944374065,4.921707219218022,0.7127972748439566
ADD,VISTRA CORP,92840M102,,2215272.0,9.54047109970074,351408597.0,5.12375997209944,4.548752872509395,-0.5750070995900449
ADD,NVIDIA CORPORATION,67066G104,,1525000.0,3.6357458375807,305137250.0,4.325112532742445,3.949800757000596,-0.3753117757418485
ADD,NRG ENERGY INC,629377508,,1760000.0,1.473557489959307,257065600.0,4.271884965244059,3.327544904723407,-0.944340060520652
NEW,APPLE INC,037833100,PUT,835000.0,,241615600.0,0.0,3.1275548291241178,3.1275548291241178
TRIM,ALIBABA GROUP HLDG LTD,01609W102,,2000000.0,-42.279942279942276,191960000.0,7.326544415024648,2.4847957871870263,-4.841748627837621
NEW,BOEING CO,097023105,,800000.0,,173176000.0,0.0,2.2416492771509713,2.2416492771509713
KEEP,LAM RESEARCH CORP,512807306,,382500.0,0.0,165748725.0,1.377353218345622,2.14550809341332,0.7681548750676981
ADD,BAIDU INC,056752108,,1295000.0,87.11168906227424,148005550.0,1.299638798390243,1.9158343775802187,0.6161955791899756
NEW,AMERICAN AIRLINES GROUP INC,02376R102,,7500000.0,,135525000.0,0.0,1.7542818767374544,1.7542818767374544
TRIM,ADVANCED MICRO DEVICES INC,007903107,,197500.0,-10.79494128274616,114729725.0,0.7590725390111862,1.4851007363259328,0.7260281973147465
NEW,COREWEAVE INC,21873S108,,1078248.0,,107328806.0,0.0,1.3893007136518734,1.3893007136518734
ADD,ASML HLDG NV,N07059210,,50000.0,1.0101010101010102,99472000.0,1.1019015348884114,1.2875995339813913,0.1856979990929799
NEW,BROADCOM INC,11135F101,,150000.0,,56662500.0,0.0,0.7334587481323447,0.7334587481323447
TRIM,QUALCOMM INC,747525103,,250000.0,-49.860914175924016,46197500.0,1.0821879199940794,0.5979962147248002,-0.4841917052692791
NEW,SPACE EXPLORATION TECHN CORP,84615Q103,,225000.0,,38443500.0,0.0,0.4976257910227362,0.4976257910227362
KEEP,ENERGY TRANSFER L P,29273V100,,1576125.0,0.0,30135510.0,0.5126708664256263,0.39008433159373046,-0.12258653483189585
KEEP,MPLX LP,55336V100,,502460.0,0.0,28303572.0,0.4832813413593071,0.3663711005831667,-0.11691024077614043
TRIM,WHIRLPOOL CORP,963320106,,715000.0,-63.33333333333333,28185300.0,1.7720466857395705,0.36484014742968585,-1.4072065383098846
NEW,BERKSHIRE HATHAWAY INC DEL,084670702,PUT,25000.0,,12509750.0,0.0,0.16193047561347623,0.16193047561347623
NEW,GOODYEAR TIRE & RUBR CO,382550101,,1508591.0,,9956701.0,0.0,0.1288829375863766,0.1288829375863766
EXIT,BALL CORP,058498106,,0.0,-100.0,0.0,0.8338291659080236,0.0,-0.8338291659080236
EXIT,CORNING INC,219350105,,0.0,-100.0,0.0,2.588332093965234,0.0,-2.588332093965234
EXIT,DEUTSCHE BK AG,D18190898,,0.0,-100.0,0.0,0.12929691520052097,0.0,-0.12929691520052097
EXIT,JD.COM INC,47215P106,,0.0,-100.0,0.0,0.6503580208951668,0.0,-0.6503580208951668
EXIT,KRANESHARES TRUST,500767306,,0.0,-100.0,0.0,0.5174772717189955,0.0,-0.5174772717189955
EXIT,L3HARRIS TECHNOLOGIES INC,502431109,,0.0,-100.0,0.0,1.1517646169960865,0.0,-1.1517646169960865
EXIT,LYFT INC,55087P104,,0.0,-100.0,0.0,0.6052099642861977,0.0,-0.6052099642861977
EXIT,MICROSOFT CORP,594918104,,0.0,-100.0,0.0,0.5614801315283754,0.0,-0.5614801315283754
EXIT,PDD HOLDINGS INC,722304102,,0.0,-100.0,0.0,1.5498835626757812,0.0,-1.5498835626757812
EXIT,RTX CORPORATION,75513E101,,0.0,-100.0,0.0,1.1118571629600718,0.0,-1.1118571629600718
EXIT,SANDISK CORP,80004C200,,0.0,-100.0,0.0,3.0115452593169865,0.0,-3.0115452593169865
EXIT,UNITEDHEALTH GROUP INC,91324P102,,0.0,-100.0,0.0,0.4104354993388527,0.0,-0.4104354993388527
