kind,issuer,cusip,putcall,shares,share_chg,value,w_prev,w_cur,w_pp
ADD,AMAZON COM INC,023135106,,3743854.0,20.043260866358807,892310000.0,12.697844539408607,16.475890316816205,3.7780457774075984
KEEP,ELEVANCE HEALTH INC FORMERLY,036752103,,1275154.0,0.0,493140000.0,7.29762011815349,9.105490861734983,1.8078707435814936
TRIM,RESTAURANT BRANDS INTL INC,76131D103,,6753112.0,-16.42303968063809,489612000.0,11.674753390754939,9.040348768698117,-2.634404622056822
ADD,ALPHABET INC,02079K107,,1371931.0,16.154008319144957,484744000.0,6.623535299430346,8.950464497466973,2.326929198036627
ADD,FERGUSON ENTERPRISES INC,31488V107,,1450594.0,0.5673140318536117,344269000.0,6.577360821678938,6.356690257287263,-0.22067056439167487
ADD,GENUINE PARTS CO,372460105,,2816178.0,88.96110170242117,332253000.0,3.0809832309623135,6.13482308327054,3.053839852308226
TRIM,UNION PAC CORP,907818108,,1185395.0,-23.07599959766255,322427000.0,7.308860729799155,5.953392752720578,-1.3554679770785762
KEEP,VISA INC,92826C839,,701355.0,0.0,240628000.0,4.143934565955999,4.443030488456758,0.2990959225007588
TRIM,WESCO INTL INC,95082P105,,662881.0,-53.86667371897882,228979000.0,7.685821972170201,4.227939716975331,-3.4578822551948702
TRIM,AON PLC,G0403H108,,687000.0,-10.663198959687907,227871000.0,4.85238633298015,4.207481259184841,-0.644905073795309
TRIM,TELEFLEX INCORPORATED,879369106,,1409000.0,-11.661442006269592,178605000.0,3.7294981018027986,3.2978184599914364,-0.4316796418113622
ADD,NORWEGIAN CRUISE LINE HLDGS,G66721104,,7730000.0,112.94765840220387,163180000.0,1.3269981897728027,3.013006446075992,1.6860082563031893
KEEP,MOLINA HEALTHCARE INC,60855R100,,633609.0,0.0,144906000.0,1.651099234074497,2.675589607029585,1.0244903729550878
NEW,CME GROUP INC,12572Q105,,619000.0,,136694000.0,0.0,2.5239606761852658,2.5239606761852658
KEEP,HERBALIFE LTD,G4412G101,,9259844.0,0.0,121767000.0,2.6646114267170766,2.248343889688291,-0.41626753702878583
TRIM,EAGLE MATLS INC,26969P108,,530763.0,-40.54827541015925,119422000.0,3.306381930570163,2.2050450778483093,-1.1013368527218539
ADD,GDS HLDGS LTD,36165L108,,3769818.0,23.810946992562446,113208000.0,2.3981796073800967,2.0903078425503794,-0.30787176482971734
TRIM,AMERICOLD REALTY TRUST INC,03064D108,,6830230.0,-12.216867160189183,107371000.0,1.7431354073402172,1.9825316529086,0.23939624556838268
TRIM,LIBERTY GLOBAL LTD,G61188127,,8543161.0,-36.231966164391835,93975000.0,3.072108034984693,1.7351837282141889,-1.3369243067705041
KEEP,GRUPO AEROMEXICO SAB DE CV,40054J109,,4880188.0,0.0,87843000.0,1.3365771457838909,1.6219605665072518,0.285383420723361
NEW,AXALTA COATING SYS LTD,G0750C108,,1274356.0,,43608000.0,0.0,0.8051917214148907,0.8051917214148907
TRIM,DNOW INC,67011P100,,2788000.0,-23.089655172413792,36160000.0,0.8440037690259571,0.6676695250037252,-0.17633424402223186
NEW,PERSHING SQUARE INC,71531U102,,392000.0,,12881000.0,0.0,0.2378388039704918,0.2378388039704918
EXIT,VAXCYTE INC,92243G108,,0.0,-100.0,0.0,0.9087887898846224,0.0,-0.9087887898846224
EXIT,WILLIS TOWERS WATSON PLC LTD,G96629103,,0.0,-100.0,0.0,5.075517361369048,0.0,-5.075517361369048
